,компания,сектор,год,тип отчета,ссылка на отчет,E_Общие,E_Биоразнообразие,E_Вода,E_Газ,E_Климат,E_Отходы,E_Экологический менеджмент,E_Энергия,S_Безопасность и охрана здоровья,S_Безопасность продукта,S_Благотворительность,S_Инвестиции и капитальные вложения,S_Налоги,S_Обучение и развитие,S_Оплата труда,S_Отношения с потребителями,S_Отношения с работниками,S_Охрана здоровья,S_Профсоюзы и коллективные договоры,S_Трудовые отношения,G_Антикоррупция,G_Дивиденды и акционеры,G_Инновации,G_Лидерство,G_Отчетность и прозрачность,G_Управление рисками,G_Эффективность и производительность
52,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2010,СО,/download/3d616fc100fb0427ae2f7dad02e8ac21/,0.03,0.02,0.01,0.0,0.01,0.02,0.02,0.01,0.05,0.0,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.0,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.01,0.06
54,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2008,СО,/download/17926c3805477f65ed1812917fc9b2bc/,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.05,0.0,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.01,0.03,0.01,0.01,0.0,0.02,0.02,0.01,0.06
55,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2007,СО,/download/739635c39974f3355b3c5c7d74936edf/,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.05,0.0,0.03,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.05
56,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2007,СО,/download/20ed4fecdd4e2d7fbccc67d06320da8f/,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.05,0.0,0.03,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.05
57,Deloitte CIS,"Прочие виды производства, услуг",2020,ОУР,/download/8d6b16c1900216cc905d51a3b27dbe7b/,0.04,0.05,0.0,0.04,0.05,0.04,0.01,0.03,0.07,0.01,0.01,0.02,0.05,0.01,0.03,0.02,0.04,0.01,0.03,0.07,0.06,0.01,0.01,0.03,0.04,0.02,0.05
58,Deloitte CIS,"Прочие виды производства, услуг",2019,ОУР,/download/1228605dafc6a59a19dc983b7ebb82f1/,0.02,0.01,0.0,0.0,0.02,0.0,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.03,0.03,0.04,0.0,0.02,0.04,0.04,0.01,0.01,0.03,0.03,0.02,0.03
59,En+ Group ,Металлургическая и горнодобывающая,2021,ОУР,/download/ab79c66bc0311f812baff8fd760ab9c8/,0.04,0.02,0.03,0.01,0.04,0.02,0.03,0.03,0.04,0.02,0.02,0.04,0.01,0.01,0.03,0.04,0.02,0.01,0.02,0.04,0.03,0.03,0.01,0.05,0.04,0.03,0.04
60,En+ Group ,Металлургическая и горнодобывающая,2020,ОУР,/download/c6445a081dc197acc1dede2a778e7cdc/,0.04,0.02,0.03,0.01,0.04,0.02,0.03,0.03,0.05,0.02,0.02,0.05,0.01,0.02,0.03,0.05,0.02,0.02,0.03,0.05,0.03,0.04,0.01,0.05,0.04,0.03,0.04
61,En+ Group ,Металлургическая и горнодобывающая,2019,ИО,/download/87f366c6dc60bedde339f8d36852ccec/,0.02,0.01,0.01,0.0,0.03,0.01,0.01,0.02,0.03,0.02,0.01,0.06,0.01,0.01,0.03,0.03,0.02,0.0,0.01,0.03,0.03,0.04,0.01,0.03,0.04,0.04,0.04
62,En+ Group ,Металлургическая и горнодобывающая,2018,ОУР,/download/540efc4da13e32f9a10ac38185f0e34a/,0.05,0.02,0.02,0.01,0.04,0.02,0.04,0.03,0.05,0.03,0.03,0.05,0.01,0.02,0.04,0.05,0.04,0.01,0.04,0.06,0.04,0.04,0.02,0.06,0.05,0.04,0.05
63,EVRAZ PLC,Металлургическая и горнодобывающая,2021,ОУР,/download/a11e88684407cadc17f6324ded47e100/,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02
64,EVRAZ PLC,Металлургическая и горнодобывающая,2020,ОУР,/download/1b06cdf61c7d46171504e62aa710405f/,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.0,0.01,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02
65,EVRAZ PLC,Металлургическая и горнодобывающая,2019,ОУР,/download/7ddb015764a27c2e8f89876948c4214c/,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.0,0.01,0.02,0.02,0.02,0.0,0.02,0.03,0.02,0.02,0.01,0.02,0.03,0.02,0.02
66,EVRAZ PLC,Металлургическая и горнодобывающая,2018,ОУР,/download/aa76e6b6df6532a4d64675caff00d360/,0.02,0.01,0.01,0.0,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.0,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.01,0.0,0.02,0.02,0.02,0.02
67,EVRAZ PLC,Металлургическая и горнодобывающая,2017,ИО,/download/0d894db7615c52cad8c57c22adbe0d42/,0.02,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0.03,0.03,0.01,0.06,0.01,0.01,0.03,0.04,0.03,0.0,0.01,0.04,0.02,0.05,0.01,0.04,0.05,0.04,0.05
