,компания,сектор,год,тип отчета,ссылка на отчет
697,Московская Биржа,Финансы и страхование,2019,ОУР,/download/8630b5d31192be5c3a98093d0c52b81c/
698,ПАО «Московский кредитный банк»,Финансы и страхование,2019,ОУР,/download/ce5d600ffd4845e3f867e2731b46a1f8/
699,ПАО «Московский кредитный банк»,Финансы и страхование,2018,ОУР,/download/6928c03fa1122b2ec978b4151aead763/
700,ОАО «НИПИГАЗ» ,Нефтегазовая,2013,СО,/download/8bb9860770fffc4a3ef49a799a72da80/
701,ОАО «НИПИГАЗ» ,Нефтегазовая,2012,СО,/download/4f463b58c1aa6113259be9188a1db2c8/
702,ОАО «НИПИГАЗ» ,Нефтегазовая,2011,СО,/download/4834f79c8a92bd1e30fcaf5a518267d2/
703,ПАО «НЛМК»,Металлургическая и горнодобывающая,2021,ИО,/download/de45f8ddf53aa9ba80614d1c93e296fc/
704,ПАО «НЛМК»,Металлургическая и горнодобывающая,2020,ИО,/download/f5b02650d8be78c505a1812b94136808/
705,ПАО «НЛМК»,Металлургическая и горнодобывающая,2019,ИО,/download/6ba7d1e0be988aba125bac880e7febf0/
706,ПАО «НЛМК»,Металлургическая и горнодобывающая,2018,ИО,/download/c04a21a1b863aeeab55923860f3f4959/
707,ПАО «НЛМК»,Металлургическая и горнодобывающая,2017,ИО,/download/566ae3f118cd276ae5fe7b8b8c3dcdb9/
708,ПАО «НЛМК»,Металлургическая и горнодобывающая,2016,ЭО,/download/54a1e1a70d5ee6f63f00addd1c8181da/
709,ПАО «НЛМК»,Металлургическая и горнодобывающая,2015,ОУР,/download/d4ec20a042e7f08159e070558de0b261/
710,ПАО «НЛМК»,Металлургическая и горнодобывающая,2014,ЭО,/download/e887828456481182083f8831c094a47f/
711,ПАО «НЛМК»,Металлургическая и горнодобывающая,2014,СО,/download/28e60b356a7186383551b60f5c9080c8/
712,ПАО «НЛМК»,Металлургическая и горнодобывающая,2013,ЭО,/download/28f83356877ac5333c04471f08b53617/
713,ПАО «НЛМК»,Металлургическая и горнодобывающая,2013,СО,/download/9e05669fe0ac2aa168c6e738f24815d5/
714,ПАО «НЛМК»,Металлургическая и горнодобывающая,2012,СО,/download/dbb1a1e9883fc43a7877d4a5de8ecc10/
715,ПАО «НЛМК»,Металлургическая и горнодобывающая,2011,СО,/download/ac18147826ff6622461bc25afbdde6a2/
716,ПАО «НЛМК»,Металлургическая и горнодобывающая,2010,СО,/download/561403e7324c3c4eea3c8554d56747dd/
717,ПАО «НЛМК»,Металлургическая и горнодобывающая,2009,СО,/download/772b067755897983679c2600b6709598/
718,ПАО «НЛМК»,Металлургическая и горнодобывающая,2008,СО,/download/76b34172ec05d23ccd711697c99ec0f7/
719,ПАО «НЛМК»,Металлургическая и горнодобывающая,2007,СО,/download/d854f42b15bd1e1f982b62a04cc9af4b/
720,ПАО «НЛМК»,Металлургическая и горнодобывающая,2006,СО,/download/bc385fac29fd2298fa152eada2e7b572/
721,ПАО «НОВАТЭК»,Нефтегазовая,2021,ОУР,/download/9f067c4d7506bdca03e15a0c9bb5ab23/
722,ПАО «НОВАТЭК»,Нефтегазовая,2020,ОУР,/download/11e29f9aecff553ef6d60d3ed496296d/
723,ПАО «НОВАТЭК»,Нефтегазовая,2019,ОУР,/download/9062e7b5a50999a30c44b6cf316518c6/
724,ПАО «НОВАТЭК»,Нефтегазовая,2018,ОУР,/download/9544134e1fe4f550def6e908988c5716/
725,ПАО «НОВАТЭК»,Нефтегазовая,2017,ОУР,/download/9190cb4e6d618b793368541daa9889bc/
726,ПАО «НОВАТЭК»,Нефтегазовая,2016,ОУР,/download/b28890a51ccdcb805cc0fd169f0b5118/
727,ПАО «НОВАТЭК»,Нефтегазовая,2015,ОУР,/download/033e6d909aee2614cca10d60f1581f7a/
728,ПАО «НОВАТЭК»,Нефтегазовая,2014,ОУР,/download/f692d2bce220894e13f2175ba3dc823b/
729,ПАО «НОВАТЭК»,Нефтегазовая,2013,ОУР,/download/cf3a71db05db55e84fc3bd911e53c6c7/
730,ПАО «НОВАТЭК»,Нефтегазовая,2012,ОУР,/download/a42f9bfb284937fe013c8c12295f18c9/
731,ПАО «НОВАТЭК»,Нефтегазовая,2011,ОУР,/download/74c2a92ac40d51017d71a1601a70b11f/
732,ПАО «НОВАТЭК»,Нефтегазовая,2010,ОУР,/download/66523c58cf246635a3e0c0ed7290c0fa/
733,ПАО «НОВАТЭК»,Нефтегазовая,"2009, 2008",ОУР,/download/89e3d2fea653bdee9f931b7acdbbce54/
734,ПАО «НОВАТЭК»,Нефтегазовая,"2007, 2006",ОУР,/download/7742bcd542d5b0ec2305148e495b5185/
735,ПАО «НОВАТЭК»,Нефтегазовая,"2005, 2004",ОУР,/download/e6554adf5c95939b47a3e0ec69acdbf2/
736,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2019,ОУР,/download/ae56189564e0080d94a038f92bf15a7f/
737,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2018,ИО,/download/685bb20d57c8e6e4b4c4a3c34f0f3339/
738,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,"2017, 2016",СО,/download/7b1f6fb1d1fda83d7b777df631b31d89/
739,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2015,СО,/download/80653a89bb0498bcf276365d0d8e7800/
740,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2014,СО,/download/9e51ef1da95762f207589d6e8110c71d/
741,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2013,СО,/download/83576dbd17e93f78b8d586bb282cffb1/
742,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2012,СО,/download/1a162af953ca203eaf11c0fa1c4a2176/
743,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2011,СО,/download/9b79f5ede12d12931fddb6a898ea7276/
744,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2010,СО,/download/1f0a302561e6f32401fac73f8b5ceb97/
745,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2009,СО,/download/5612d3bc5ba875de1fff55e04b963f25/
746,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2008,СО,/download/d0ddf26c9da82a202fdb7064d24a890c/
747,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2007,СО,/download/7d869fc4fff000b29a37d1f1749ee47e/
748,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2006,СО,/download/c0e6ccd4c4d6b358cf1e8869d74c300a/
749,ООО «НОВОГОР- Прикамье»,ЖКХ и бытовое обслуживание,2005,СО,/download/ad34870b852976d7f67e1d15327d51b2/
750,ООО «Неманский целлюлозно-бумажный комбинат» (ЗАО «СЗЛК»),"Деревообрабатывающая, целлюлозно-бумажная","2007, 2006",ЭО,/download/8950d19ad81d1432c8dfac664905bf17/
751,ООО «Неманский целлюлозно-бумажный комбинат» (ЗАО «СЗЛК»),"Деревообрабатывающая, целлюлозно-бумажная",2005,ЭО,/download/4ebf869af3c680dea79721583aa492e5/
752,ООО «Неманский целлюлозно-бумажный комбинат» (ЗАО «СЗЛК»),"Деревообрабатывающая, целлюлозно-бумажная",2004,ЭО,/download/514388194e591f19bb9f87f9a27ef14e/
753,ООО «Неманский целлюлозно-бумажный комбинат» (ЗАО «СЗЛК»),"Деревообрабатывающая, целлюлозно-бумажная",2003,ЭО,/download/b0a5a7aef96f499c1a508ad6c0a83710/
754,ООО «Неманский целлюлозно-бумажный комбинат» (ЗАО «СЗЛК»),"Деревообрабатывающая, целлюлозно-бумажная","2002, 2001, 2000",ЭО,/download/5a78d4f14ef0b841602ec27de8ab536e/
755,ООО «Нестле Россия» ,Производство пищевых и других потребительских товаров,"2019, 2018",СО,/download/96b2c6ed538fe4ccfd6f3f4adfc7c7f5/
756,ООО «Нестле Россия» ,Производство пищевых и других потребительских товаров,"2017, 2016",СО,/download/3fae2ea49c2760aee49608dcd45225b3/
757,ООО «Нестле Россия» ,Производство пищевых и других потребительских товаров,"2015, 2014",СО,/download/26b831bee21a2dd0f026446ca7ed219c/
758,ООО «Нестле Россия» ,Производство пищевых и других потребительских товаров,"2013, 2012",СО,/download/298dcda4bd62291e6c59589ab3fc214f/
759,ООО «Нестле Россия» ,Производство пищевых и других потребительских товаров,2011,СО,/download/2182bb3455a8bdbc70c1844fd5c701c2/
760,ПАО «Нижнекамскнефтехим»,"Химическая, нефтехимическая, парфюмерная",2015,ОУР,/download/4e156d6e1d078658c082ea67dc5aa27c/
761,ПАО «Нижнекамскнефтехим»,"Химическая, нефтехимическая, парфюмерная",2014,ОУР,/download/60d22460f886005bf4b5fc52c4d18b3e/
762,ПАО «Нижнекамскнефтехим»,"Химическая, нефтехимическая, парфюмерная",2013,ОУР,/download/0cd1a0f610e038e2539e5f9578c62e00/
763,ПАО «Нижнекамскнефтехим»,"Химическая, нефтехимическая, парфюмерная",2012,ОУР,/download/bebec73330cf88dbd13dc6a1e6afe25d/
764,ПАО «Нижнекамскнефтехим»,"Химическая, нефтехимическая, парфюмерная",2011,ОУР,/download/efeb31d3fa4ac7df2e8f3f2f2ea5a64a/
765,ПАО «Нижнекамскнефтехим»,"Химическая, нефтехимическая, парфюмерная",2010,СО,/download/7ede8050557f64dd82ae20cf40201a0d/
766,ПАО «Нижнекамскнефтехим»,"Химическая, нефтехимическая, парфюмерная",2009,СО,/download/7935c46af54302504647bb29c0dd506a/
767,Ново Нордиск АС Дания,"Образование, здравоохранение",2010,СО,/download/47b1db276d911a0568270bd5e1719b80/
768,Ново Нордиск АС Дания,"Образование, здравоохранение",2009,СО,/download/5ea06b6fc4dfcc091e91a64b09790df3/
769,Ново Нордиск АС Дания,"Образование, здравоохранение",2008,СО,/download/367922196379e0918a3b97f4cefa7a08/
770,Ново Нордиск АС Дания,"Образование, здравоохранение",2007,СО,/download/a29bb89745c87e7f5d4a00984c6433c9/
771,Ново Нордиск АС Дания,"Образование, здравоохранение",2005,СО,/download/5ee1f38f199551c4fbb6deda72b86597/
772,ПАО «Новосибирский завод химконцентратов»,"Химическая, нефтехимическая, парфюмерная",2014,ИО,/download/255e7275d98e38b9f3baddaf55a37cde/
773,ПАО «Новосибирский завод химконцентратов»,"Химическая, нефтехимическая, парфюмерная",2013,ИО,/download/db87f5ee3be659c21836128ac4de2d1f/
774,ОАО Новосибирский коммерческий муниципальный банк,Финансы и страхование,"2007, 2006, 2005",СО,/download/e4a89f34ee52e9b439ef0f8422cb15cc/
775,ОАО «ОГК-1»,Энергетика,2008,ОУР,/download/f6c1ae7a1ec49641abf319f1e99ec6b9/
776,ОАО «ОГК-1»,Энергетика,2007,ОУР,/download/e77322911e324f08f090dc9452a84815/
777,ОАО «ОГК-1»,Энергетика,2006,ОУР,/download/b9e8225a14e4b9b14ff2a2e25c3e0d6a/
778,ОАО «ОГК-1»,Энергетика,2005,СО,/download/d9436a2761ca745cb97c5995e0963431/
779,ПАО «ОГК-2»,Энергетика,2021,ОУР,/download/cb225bd3d9761dd6e3cc95598c7a8ca9/
780,ПАО «ОГК-2»,Энергетика,2020,ИО,/download/0aff97818b6887ccffba52ad2b7e482d/
781,ПАО «ОГК-2»,Энергетика,2011,ОУР,/download/fb6861eeb762bd6f98588849e2aca2d7/
782,ПАО «ОГК-2»,Энергетика,2010,ОУР,/download/e5f1b6304d9b731eab2be6544045ef20/
783,ПАО «ОГК-2»,Энергетика,2009,ОУР,/download/2237695d29b65271bf320c1ca42735bf/
784,ПАО «ОГК-2»,Энергетика,2008,ОУР,/download/52da3e0391ab4abce73514c76d2de8ec/
785,ПАО «ОГК-2»,Энергетика,2007,ОУР,/download/14cf376acf9e0f32f0d83fdf20f35693/
786,ПАО «ОГК-2»,Энергетика,2006,ОУР,/download/f2156be4481e18357c8bfb8f5a9db9b8/
787,ПАО «ОГК-2»,Энергетика,"2006, 2005",СО,/download/4bc29bb860faec5b50eabce974814a44/
788,ОАО «ОГК-4» (Концерн E.ON)  ,Энергетика,2007,ОУР,/download/f72cc51ce58d2dee09c7c97bef8f4d5e/
789,ОАО «ОГК-4» (Концерн E.ON)  ,Энергетика,2006,СО,/download/17a46824da75c941712bc086bb756758/
790,ОАО «ОГК-4» (Концерн E.ON)  ,Энергетика,2005,СО,/download/65624e5f6b1413950695b411366ec1e6/
791,ОАО «ОГК-6»,Энергетика,2006,СО,/download/533dac6af576fb0f80454ef06a417a9f/
792,АО «ОМК»,Металлургическая и горнодобывающая,2021,ИО,/download/df9c8a8017fa876c801be49e6e65a641/
793,АО «ОМК»,Металлургическая и горнодобывающая,2020,ИО,/download/eccab850171c49cfaa4d5c28ecda0e74/
794,АО «ОМК»,Металлургическая и горнодобывающая,2019,ИО,/download/c27ea7202c210e2d52d04ed8aff31dc0/
795,АО «ОМК»,Металлургическая и горнодобывающая,2018,ИО,/download/7d383a56ba4f7bfadfcea2c566603d15/
796,АО «ОМК»,Металлургическая и горнодобывающая,2017,ИО,/download/5214a4a6fda8adc11a03a50cdc226660/
797,АО «ОМК»,Металлургическая и горнодобывающая,2016,ИО,/download/5063383cd91729fb49c34ddf4f50b75f/
798,АО «ОМК»,Металлургическая и горнодобывающая,2015,ИО,/download/01d3bca60a55c91c5d7bbb6d521ad469/
799,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2021,СО,/download/34d9dd21992623d7bc248b88fe8cac7a/
800,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2020,СО,/download/f2ce0e869b6514c524e5c6822fa1ef04/
801,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2019,ОО,/download/57722a69bab7e32e20b0cd629d77664b/
802,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2018,ОО,/download/84292754e4e5c7ac8e9b0ca12cb88a72/
803,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2017,ОО,/download/60cb8404ca00135b89a4b09e09e7bcd2/
804,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2016,ОО,/download/d4ce9c89176427c64cb842effac88cad/
805,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2015,ОО,/download/bd8d66173c369d4984d2006261542dfe/
806,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2013,ОО,/download/68cbf64d399460638d196e59021b8b81/
807,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2012,ОО,/download/bd9e5f43efe19e875be77c97889e97f9/
808,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2011,ОО,/download/0f71bd2ddcb702a2ac960e76ff6581ee/
809,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2010,ОО,/download/3092f49c8ce9aa65e32390055dce40cc/
810,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2009,ОО,/download/f617c16079327c6feafd2bbcddf69ea1/
811,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2008,ОО,/download/ef6a6c775d20e42424a2026116933a73/
812,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2007,ОО,/download/8972d0a5d8b283c3d223f7864d57c685/
813,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2006,ОО,/download/79869d09934c45a88689b9a1ddb77be2/
814,«Общероссийское отраслевое объединение работодателей электроэнергетики»,Отраслевые отчеты,2005,ОО,/download/66cec20ca37404a3cd59336dafec3bd5/
815,Объединение «Желдортранс»,Отраслевые отчеты,2015,ОО,/download/dd07e9b3c62d828d49f80d78392cf6fa/
816,Объединение «Желдортранс»,Отраслевые отчеты,2013,ОО,/download/d3468bdeb495d255884c7359a04dfd03/
817,Объединение «Желдортранс»,Отраслевые отчеты,2012,ОО,/download/25f8c7b8d0c6aabb380ebbb577d72e68/
818,Объединение «Желдортранс»,Отраслевые отчеты,2011,ОО,/download/3aa8b59aaa04e8def3ec9aa91287d603/
819,Объединение «Желдортранс»,Отраслевые отчеты,2010,ОО,/download/ee8100cc6bb8b89c6e31e6dfa2d64c1d/
820,Объединение «Желдортранс»,Отраслевые отчеты,2009,ОО,/download/b957a7dfb1a170681cc82ab62e534544/
821,ПАО «Совкомбанк»,Финансы и страхование,2021,ОУР,/download/0de8548ab5f6e768286dfe883131d884/
822,ПАО «Совкомбанк»,Финансы и страхование,2020,ОУР,/download/3bafdea4f9468be930033841b3f7362c/
823,ПАО «Совкомбанк»,Финансы и страхование,2019,ОУР,/download/59519b1200e0749004b8fc715f31addc/
824,АО «ПО» Кристалл»,Металлургическая и горнодобывающая,2019,СО,/download/dc1dc52ca9adf3a6afd2b4e57753017b/
825,АО «ПО» Кристалл»,Металлургическая и горнодобывающая,"2018, 2017, 2016",ОУР,/download/34891b7d0063f71b6a4111af964bcfda/
826,АО «ПО» Кристалл»,Металлургическая и горнодобывающая,2015,ОУР,/download/46850a043e1070540ce0684ef2f450e0/
827,АО «ПО» Кристалл»,Металлургическая и горнодобывающая,2012,ОУР,/download/282f34e0633459b25bed218b59ca660b/
828,АО «ПО «Электрохимический завод»,Энергетика,2019,ЭО,/download/1d3c60c764cbe0a0aa6c273adffeeb26/
829,АО «ПО «Электрохимический завод»,Энергетика,2018,ЭО,/download/4c047c756ce60c95a5e8b99193a6162d/
830,АО «ПО «Электрохимический завод»,Энергетика,2018,ИО,/download/7c954d8db5e954d4a2dcde029b8734e0/
831,АО «ПО «Электрохимический завод»,Энергетика,2017,ИО,/download/6aebe975c0b572d776fcc5f787199e8c/
832,АО «ПО «Электрохимический завод»,Энергетика,2017,ЭО,/download/b4c259c571e011fe31b8ce4e8a8b6d7a/
833,АО «ПО «Электрохимический завод»,Энергетика,2016,ЭО,/download/8b0e316de1a669797b6d16f52904ce27/
834,АО «ПО «Электрохимический завод»,Энергетика,2016,ИО,/download/d64aa92550ac153719bab75bff9ca470/
835,АО «ПО «Электрохимический завод»,Энергетика,2015,ЭО,/download/54347e73244e41533daf510b0bcd753b/
836,АО «ПО «Электрохимический завод»,Энергетика,2015,ИО,/download/f3ba67d3776ad8b82986f4a7baaec668/
837,АО «ПО «Электрохимический завод»,Энергетика,2014,ИО,/download/c82c98ded1a3c7af0a155ca5184b2356/
838,АО «ПО «Электрохимический завод»,Энергетика,2013,ИО,/download/358cd8f651c99f181f9c469abc9b65b0/
839,АО «ПО «Электрохимический завод»,Энергетика,2012,ИО,/download/5a24c1dcf156c0bb8be8794e0a415bdb/
840,АО «ПО «Электрохимический завод»,Энергетика,2011,ИО,/download/77b6392d7d09b1752bea30d8a1a41fba/
841,Петропавловск,Металлургическая и горнодобывающая,2020,ОУР,/download/df684c1644a740a70356528edc56ca75/
842,Петропавловск,Металлургическая и горнодобывающая,2019,ОУР,/download/71a2b1a2dd6dfc83b56222a769bbbc7d/
843,Петропавловск,Металлургическая и горнодобывающая,2016,СО,/download/c42aff53d053af7cf0b0199d9304042f/
844,Петропавловск,Металлургическая и горнодобывающая,2015,СО,/download/b0263807e18d24e3e46bd21ce9830615/
845,Петропавловск,Металлургическая и горнодобывающая,2014,СО,/download/93c61adf738cbb00bb99d1e2e5dd8d04/
846,Петропавловск,Металлургическая и горнодобывающая,2013,СО,/download/cce8d846a7d025eb48ee66afdbdf9f01/
847,Петропавловск,Металлургическая и горнодобывающая,2012,СО,/download/00dacda3b83afe18f0aa02db58bc1d64/
848,Петропавловск,Металлургическая и горнодобывающая,2011,СО,/download/2b0e1674d573703d83130607b1cc0d97/
849,Петропавловск,Металлургическая и горнодобывающая,2010,СО,/download/9338022eb14ef4a38949bf7bc264de2d/
850,Пивоваренная компания «Балтика»,Производство пищевых и других потребительских товаров,2020,ОУР,/download/6b6cc9dad14ce95497de6a2b1af6b324/
851,Пивоваренная компания «Балтика»,Производство пищевых и других потребительских товаров,2019,ОУР,/download/4e27aee455b76087ebd191ea782c7bce/
852,Пивоваренная компания «Балтика»,Производство пищевых и других потребительских товаров,2018,ИО,/download/076c48aa17016b05702d57d8c1a16742/
853,Пивоваренная компания «Балтика»,Производство пищевых и других потребительских товаров,2017,ОУР,/download/2cac603d55a0452cd56199630a16326e/
854,Пивоваренная компания «Балтика»,Производство пищевых и других потребительских товаров,2016,ОУР,/download/da83e383c0a307ac8a9eedd961983ba6/
855,Пивоваренная компания «Балтика»,Производство пищевых и других потребительских товаров,2015,ОУР,/download/20253d45adac8d75200bc8d2af556da1/
856,Пивоваренная компания «Балтика»,Производство пищевых и других потребительских товаров,2014,ОУР,/download/a8216f0deea555227ef215331c4ac258/
857,Пивоваренная компания «Балтика»,Производство пищевых и других потребительских товаров,2013,ОУР,/download/7c5a419c5b4afe14b0f84a9437a1f554/
858,ПАО «Пигмент»,"Химическая, нефтехимическая, парфюмерная",2021,ОУР,/download/57e9e0cb4d04595b1f565f57a364f660/
859,ПАО «Пигмент»,"Химическая, нефтехимическая, парфюмерная",2020,ОУР,/download/3597e84cbf028f5a608c07f7d3f1fa84/
860,ПАО «Пигмент»,"Химическая, нефтехимическая, парфюмерная",2019,ОУР,/download/a9062f145b1c0d727601e978217b9767/
861,ПАО «Полиметалл»,Металлургическая и горнодобывающая,2021,ИО,/download/dd60bd2b772498057452e9b81e540671/
862,ПАО «Полиметалл»,Металлургическая и горнодобывающая,2020,ОУР,/download/0a362807b48f73caac561e7b58c8227b/
863,ПАО «Полиметалл»,Металлургическая и горнодобывающая,2019,ОУР,/download/80a4cb0f83ba5bacfa9459040d20bfb8/
864,ПАО «Полиметалл»,Металлургическая и горнодобывающая,2018,ОУР,/download/6702ae007c3d353a4eb8067394d8050c/
865,ПАО «Полиметалл»,Металлургическая и горнодобывающая,2017,ОУР,/download/6517fec5f406f6ff5fdb30eaf12ca46e/
866,ПАО «Полиметалл»,Металлургическая и горнодобывающая,2016,ОУР,/download/451af4eef3de311f3c9027b735c5f51d/
867,ПАО «Полиметалл»,Металлургическая и горнодобывающая,2015,ОУР,/download/dcb6f07df0c39b6087ebd0d628ebd6d7/
868,ПАО «Полиметалл»,Металлургическая и горнодобывающая,"2014, 2013",СО,/download/5f59f5f0a726eca547ab47f344fbc826/
869,ПАО «Полиметалл»,Металлургическая и горнодобывающая,"2012, 2011",СО,/download/dacd90434be9fca055d44b1183b85db5/
870,ПАО «Полиметалл»,Металлургическая и горнодобывающая,"2010, 2009, 2008",ОУР,/download/aec5b3b53865f36067a22a06fb15e239/
871,ПАО «Полиметалл»,Металлургическая и горнодобывающая,2007,СО,/download/b1373e356730aaa75e0a5b7a04eee371/
872,ПАО «Полюс»,Металлургическая и горнодобывающая,2021,ОУР,/download/a79b0f48c2f54dc885ddf583ef4c402d/
873,ПАО «Полюс»,Металлургическая и горнодобывающая,2020,ОУР,/download/f6a985901974e163341f7d1d8309ab6a/
874,ПАО «Полюс»,Металлургическая и горнодобывающая,2019,ОУР,/download/d57b504cef53be1288a2d27881c60db5/
875,ПАО «Полюс»,Металлургическая и горнодобывающая,2018,ОУР,/download/d930b34ec487f69ea8c8d623e87bb19f/
876,ПАО «Полюс»,Металлургическая и горнодобывающая,2017,ИО,/download/61939b4a8ec57bb2ca2d3920fd52a0e7/
877,ПАО «Полюс»,Металлургическая и горнодобывающая,"2009, 2008",ОУР,/download/129af743368a81e35f992afc6180ed5d/
878,ПАО «Полюс»,Металлургическая и горнодобывающая,"2007, 2006",ОУР,/download/cd09f4a862c901bbd95dc277f319e452/
879,ПАО «Полюс»,Металлургическая и горнодобывающая,"2005, 2004",ОУР,/download/d214382813daeb1a6cc526a8cb4d46ef/
880,ПАО «Полюс золото»,Некоммерческие организации,2009,-,/download/8ee38c3e2ae89b8305a2c6f91afa0382/
881,Почта России ,Телекоммуникационная и связь,2020,ИО,/download/d83b44304ad17a60437569138796b8a9/
882,Почта России ,Телекоммуникационная и связь,2019,ИО,/download/8be70316925051f1a39456d7a2c635ce/
883,РГУ нефти и газа (НИУ) имени И.М. Губкина,"Образование, здравоохранение",2020,CО,/download/bac8beeb3404483d01def0246ff9b23f/
884,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2021,ИО,/download/c72e1af9bd7a8d5156e1084ddf4f44a3/
885,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2020,ИО,/download/4b80a5f3039de890f4df311a27bdd50a/
886,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2019,ОУР,/download/c09b7238efec3f931bf68a0b32518308/
887,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2018,ОУР,/download/afc7c9cb60b223c51021aa52447c9600/
888,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2018,ИО,/download/a018f58ac7dc3042dd9312a91fe682ad/
889,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2017,ОУР,/download/ed2cfeb205d2549016828ab9ae680224/
890,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2016,ОУР,/download/f9f9db050b702ecb564e91a3f060797b/
891,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2015,ОУР,/download/507f415a9411a50eb0bf43da10a8511f/
892,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2014,ОУР,/download/20011e629fe22cefe874b2126f26fb32/
893,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2014,ОУР,/download/a5a2d2940809b641a74d184514052530/
894,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2013,СО,/download/3b29246376e35a99050dea4f77147e7b/
895,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2012,СО,/download/da07aac3971fb6bd468253eb9cbb5e9e/
896,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2011,СО,/download/93f39a5d2dbaf4fc401a581ec312cb6c/
897,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2010,СО,/download/de8588fc5bfefcfcf1505b6e62f12738/
898,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2009,СО,/download/efe062bde5c3d5409910ceeea3efa612/
899,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2008,СО,/download/6aaa7c06006f0fd734ba0ed66ccfbed5/
900,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2007,СО,/download/2ec092cc80d2b074eb747a5190c6b46d/
901,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2006,ЭО,/download/baa0e4883954227dc5be1aee41d83aab/
902,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2006,СО,/download/25658e70ebce8bd56acdcbf4f3259c20/
903,ОАО «РЖД»,"Транспорт, дорожное строительство и логистические услуги ",2005,СО,/download/2d9bc0bfd2960f742efe5bb99d460529/
904,"ООО ""РКС-Холдинг"" (Российские коммунальные системы)",ЖКХ и бытовое обслуживание,2019,ОУР,/download/77d45515c24e1b3562fe92c16eb51ac3/
905,"ООО ""РКС-Холдинг"" (Российские коммунальные системы)",ЖКХ и бытовое обслуживание,2018,ИО,/download/2978993f7db073dd76fe2a3d11f1b627/
906,"ООО ""РКС-Холдинг"" (Российские коммунальные системы)",ЖКХ и бытовое обслуживание,2017,ИО,/download/ff1dedb830d00ac3262495675736a177/
907,"ООО ""РКС-Холдинг"" (Российские коммунальные системы)",ЖКХ и бытовое обслуживание,"2004, 2003",СО,/download/00e09a546a340f79a384f49187477d9c/
908,РОЛЬФ,Ритейл,2021,ИО,/download/632bd220f85ecff7c7add18986ef808f/
909,РОЛЬФ,Ритейл,2020,ИО,/download/71af11e848a5b12694b291ee837e2c07/
