,компания,сектор,год,тип отчета,ссылка на отчет
89,MAYKOR,Телекоммуникационная и связь,2015,СО,/download/11dafe6d105bc4c42a7f4b493752cbf9/
90,MAYKOR,Телекоммуникационная и связь,2014,СО,/download/31063f1716b05818f7f9f03d35985504/
91,Компания Nordgold ,Металлургическая и горнодобывающая,2012,ОУР,/download/b7a5739ed89efd636367c297e8a313ff/
92,PwC в России,"Прочие виды производства, услуг",2020,ОУР,/download/d558afccab215abc892f65f883f74d47/
93,PwC в России,"Прочие виды производства, услуг",2018,ОУР,/download/8151d83d8d5b77ef7efde3379fa409a1/
94,PwC в России,"Прочие виды производства, услуг",2017,СО,/download/1eb5a8e147f2c93fb1e0841ad9ad4499/
95,PwC в России,"Прочие виды производства, услуг",2016,СО,/download/1ea9442bd938c0311fbdd588d0c74bc5/
96,PwC в России,"Прочие виды производства, услуг",2015,СО,/download/f4995c3472fbf256ce8aed2ee346b9d0/
97,PwC в России,"Прочие виды производства, услуг",2014,СО,/download/87c7db2df2b648a856b641062ad6264b/
98,PwC в России,"Прочие виды производства, услуг",2013,ОУР,/download/964915742faa6b30ee9866f3285d47cd/
99,PwC в России,"Прочие виды производства, услуг",2012,ОУР,/download/405195a5b2da76d407caf012ed0375b7/
100,PwC в России,"Прочие виды производства, услуг",2011,ОУР,/download/86d1718826c89dc5c41cb1b45065e9c0/
101,PwC в России,"Прочие виды производства, услуг",2010,ОУР,/download/5601a896230ac7de5466998efebc7436/
102,PwC в России,"Прочие виды производства, услуг",2009,ОУР,/download/015ecbfed2f3e8427ff2c2bb05a34723/
103,Segezha Group,"Деревообрабатывающая, целлюлозно-бумажная",2021,ИО,/download/92fa902ee113a306bcfb7538e8db4c86/
104,Segezha Group,"Деревообрабатывающая, целлюлозно-бумажная",2020,ИО,/download/2c63bd132ad34235970e2e4563591e36/
105,Segezha Group,"Деревообрабатывающая, целлюлозно-бумажная",2019,ИО,/download/743cc29d119721a7e306a8397406fe98/
106,Segezha Group,"Деревообрабатывающая, целлюлозно-бумажная",2018,ИО,/download/12127aa2249c17f6605314796c16c464/
107,Segezha Group,"Деревообрабатывающая, целлюлозно-бумажная",2017,ИО,/download/8b28bfae45481c5a3740dcaad9459b27/
108,Segezha Group,"Деревообрабатывающая, целлюлозно-бумажная","2017, 2016",ОУР,/download/ed1b7801a2fbd5f5a2129d7d0cef874f/
109,Segezha Group,"Деревообрабатывающая, целлюлозно-бумажная","2015, 2014",ОУР,/download/1c895c09e6326026a1ea749373a94c05/
110,X5 Retail Group,Ритейл,2021,ОУР,/download/2aced8db985b22e577a15404ff4b929e/
111,X5 Group,Торговля,2021,ОУР,/download/6971c1e3892a32eff822bf41a56dbe67/
112,X5 Retail Group,Ритейл,2020,ОУР,/download/75ba632e9ca18922a36d6998f804b63b/
113,X5 Group,Торговля,2020,ОУР,/download/5a93504f4777f92c5a396a82382042d5/
114,X5 Retail Group,Ритейл,2020,ИО,/download/9c900faf1a246cbf54ac1b595eea6e51/
115,X5 Retail Group,Ритейл,2019,ИО,/download/de698c8c5e809dd0f44fa7b9a229eaed/
116,X5 Retail Group,Ритейл,2019,ОУР,/download/98157a431e7a871be38c80c29ef001b4/
117,X5 Retail Group,Ритейл,2018,ОУР,/download/8c92fd8692cf12cd5f16a95d6b5403df/
118,АК «АЛРОСА»,Металлургическая и горнодобывающая,2021,ОУР,/download/c8ad7172562af493b904652670c58d2c/
119,АК «АЛРОСА»,Металлургическая и горнодобывающая,2020,ИО,/download/6c080227652ab0f0156d9dedb2913633/
120,АК «АЛРОСА»,Металлургическая и горнодобывающая,2020,ОУР,/download/1ab16bcce66fb1e09f7b1732acf4b298/
121,АК «АЛРОСА»,Металлургическая и горнодобывающая,2019,ИО,/download/42bbab989e022815612f242a55671e6d/
122,АК «АЛРОСА»,Металлургическая и горнодобывающая,2019,ОУР,/download/98fdd6791561fd097c644376ab375be3/
123,АК «АЛРОСА»,Металлургическая и горнодобывающая,2018,ИО,/download/6a8bb0dbdbafc91038041db473aaa9c4/
124,АК «АЛРОСА»,Металлургическая и горнодобывающая,2018,СО,/download/52f2ed9345887c0f911de1f42941da64/
125,АК «АЛРОСА»,Металлургическая и горнодобывающая,2017,СО,/download/31d42474727b511d6489cafb8daa3452/
